Open;High;Low;Close;Amount;Volume;Date
15.6;15.64;15.59;15.63;651105;10162500;08/23/2023 15:36:00
15.63;15.65;15.62;15.64;443881;6938811;08/23/2023 15:37:00
15.63;15.68;15.63;15.66;674690;10564810;08/23/2023 15:38:00
15.66;15.67;15.64;15.65;286909;4492388;08/23/2023 15:39:00
15.65;15.65;15.62;15.63;339251;5304694;08/23/2023 15:40:00
15.62;15.64;15.62;15.63;338540;5290769;08/23/2023 15:41:00
15.64;15.65;15.63;15.64;163543;2558705;08/23/2023 15:42:00
15.65;15.65;15.62;15.62;355148;5554517;08/23/2023 15:43:00
15.63;15.64;15.62;15.64;122259;1911015;08/23/2023 15:44:00
15.64;15.67;15.63;15.66;304401;4763976;08/23/2023 15:45:00
15.66;15.67;15.65;15.67;422704;6619721;08/23/2023 15:46:00
15.66;15.67;15.65;15.66;172565;2702775;08/23/2023 15:47:00
15.65;15.67;15.64;15.66;107734;1686802;08/23/2023 15:48:00
15.65;15.66;15.64;15.64;167733;2625255;08/23/2023 15:49:00
15.65;15.65;15.63;15.65;141493;2212982;08/23/2023 15:50:00
15.65;15.65;15.6;15.6;678565;10597510;08/23/2023 15:51:00
15.61;15.62;15.59;15.59;1467334;22889540;08/23/2023 15:52:00
15.6;15.62;15.59;15.59;527582;8231754;08/23/2023 15:53:00
15.6;15.61;15.58;15.59;783422;12213900;08/23/2023 15:54:00
15.6;15.6;15.56;15.59;1183927;18445690;08/23/2023 15:55:00
15.59;15.59;15.57;15.59;730760;11386600;08/23/2023 15:56:00
15.58;15.59;15.57;15.59;566986;8833788;08/23/2023 15:57:00
15.58;15.61;15.57;15.6;389315;6071471;08/23/2023 15:58:00
15.59;15.6;15.57;15.57;280647;4374635;08/23/2023 15:59:00
15.58;15.59;15.56;15.57;554344;8633306;08/23/2023 16:00:00
15.56;15.57;15.54;15.54;1589612;24715030;08/23/2023 16:01:00
15.54;15.56;15.5;15.54;3181445;49383860;08/23/2023 16:02:00
15.54;15.56;15.51;15.54;1566740;24330050;08/23/2023 16:03:00
15.54;15.58;15.54;15.57;727091;11310870;08/23/2023 16:04:00
15.57;15.57;15.54;15.54;583426;9071692;08/23/2023 16:05:00
15.54;15.58;15.54;15.57;409092;6365819;08/23/2023 16:06:00
15.58;15.61;15.57;15.6;678565;10583140;08/23/2023 16:07:00
15.6;15.6;15.58;15.58;380422;5931632;08/23/2023 16:08:00
15.58;15.6;15.57;15.57;416850;6497188;08/23/2023 16:09:00
15.57;15.61;15.56;15.6;636809;9921676;08/23/2023 16:10:00
15.61;15.64;15.59;15.62;1189378;18573190;08/23/2023 16:11:00
15.62;15.63;15.6;15.61;383279;5985407;08/23/2023 16:12:00
15.61;15.65;15.6;15.64;610007;9533226;08/23/2023 16:13:00
15.64;15.66;15.63;15.63;770537;12052130;08/23/2023 16:14:00
15.64;15.65;15.61;15.63;339563;5306349;08/23/2023 16:15:00
15.63;15.65;15.61;15.64;1183812;18517740;08/23/2023 16:16:00
15.64;15.65;15.64;15.64;520304;8137697;08/23/2023 16:17:00
15.65;15.68;15.63;15.68;2191474;34324048;08/23/2023 16:18:00
15.68;15.71;15.66;15.69;3247810;50950760;08/23/2023 16:19:00
15.7;15.74;15.68;15.71;5905282;92775160;08/23/2023 16:20:00
15.71;15.73;15.69;15.71;2991503;47004312;08/23/2023 16:21:00
15.73;15.75;15.7;15.71;2949479;46392312;08/23/2023 16:22:00
15.71;15.72;15.69;15.71;1069627;16796220;08/23/2023 16:23:00
15.71;15.71;15.67;15.7;403537;6331860;08/23/2023 16:24:00
15.69;15.69;15.66;15.67;526700;8257042;08/23/2023 16:25:00
15.67;15.69;15.65;15.68;649856;10183360;08/23/2023 16:26:00
15.68;15.69;15.67;15.67;216511;3394806;08/23/2023 16:27:00
15.67;15.7;15.67;15.69;368027;5772718;08/23/2023 16:28:00
15.69;15.7;15.66;15.66;238674;3743074;08/23/2023 16:29:00
15.66;15.67;15.64;15.64;523810;8199260;08/23/2023 16:30:00
15.65;15.65;15.62;15.63;670823;10485870;08/23/2023 16:31:00
15.63;15.64;15.59;15.61;1328961;20755390;08/23/2023 16:32:00
15.62;15.65;15.61;15.65;509938;7970768;08/23/2023 16:33:00
15.65;15.65;15.63;15.64;282770;4422808;08/23/2023 16:34:00
15.64;15.69;15.64;15.66;419576;6574216;08/23/2023 16:35:00
15.66;15.67;15.65;15.65;123695;1937091;08/23/2023 16:36:00
15.65;15.66;15.63;15.63;468204;7324171;08/23/2023 16:37:00
15.64;15.64;15.6;15.63;1330725;20776090;08/23/2023 16:38:00
15.62;15.63;15.59;15.6;1009397;15750230;08/23/2023 16:39:00
15.6;15.62;15.59;15.62;612411;9557152;08/23/2023 16:40:00
15.62;15.62;15.56;15.57;1068285;16647460;08/23/2023 16:41:00
15.58;15.6;15.55;15.55;1450981;22596480;08/23/2023 16:42:00
15.55;15.61;15.55;15.59;611677;9528414;08/23/2023 16:43:00
15.59;15.61;15.59;15.61;172764;2694913;08/23/2023 16:44:00
15.61;15.62;15.6;15.61;602137;9395622;08/23/2023 16:45:00
15.61;15.61;15.58;15.58;235108;3667114;08/23/2023 16:46:00
15.58;15.59;15.55;15.55;959962;14942060;08/23/2023 16:47:00
15.56;15.6;15.55;15.58;1025652;15975020;08/23/2023 16:48:00
15.58;15.58;15.57;15.57;105997;1650933;08/23/2023 16:49:00
15.57;15.6;15.57;15.6;489577;7629106;08/23/2023 16:50:00
15.59;15.59;15.55;15.55;399891;6226695;08/23/2023 16:51:00
15.55;15.57;15.55;15.55;658451;10243670;08/23/2023 16:52:00
15.55;15.58;15.54;15.57;1085119;16879920;08/23/2023 16:53:00
15.56;15.59;15.56;15.58;516541;8045170;08/23/2023 16:54:00
15.58;15.59;15.55;15.55;433012;6741866;08/23/2023 16:55:00
15.55;15.57;15.54;15.56;1127311;17532560;08/23/2023 16:56:00
15.57;15.59;15.55;15.57;581934;9064425;08/23/2023 16:57:00
15.58;15.58;15.56;15.56;252930;3938867;08/23/2023 16:58:00
15.57;15.59;15.56;15.58;738910;11505670;08/23/2023 16:59:00
15.58;15.58;15.56;15.57;493483;7683569;08/23/2023 17:00:00
15.57;15.63;15.56;15.62;1736401;27076030;08/23/2023 17:01:00
15.62;15.63;15.6;15.61;993841;15518650;08/23/2023 17:02:00
15.6;15.62;15.6;15.62;499429;7795004;08/23/2023 17:03:00
15.62;15.62;15.59;15.6;396954;6193481;08/23/2023 17:04:00
15.61;15.61;15.56;15.57;528062;8228318;08/23/2023 17:05:00
15.57;15.59;15.56;15.58;656337;10223120;08/23/2023 17:06:00
15.57;15.59;15.57;15.58;382405;5960104;08/23/2023 17:07:00
15.59;15.59;15.56;15.56;380304;5924766;08/23/2023 17:08:00
15.57;15.57;15.55;15.57;183935;2861942;08/23/2023 17:09:00
15.57;15.57;15.54;15.54;627819;9765885;08/23/2023 17:10:00
15.54;15.57;15.54;15.57;454374;7066634;08/23/2023 17:11:00
15.56;15.58;15.54;15.57;357392;5560388;08/23/2023 17:12:00
15.58;15.63;15.58;15.59;1330269;20759870;08/23/2023 17:13:00
15.6;15.61;15.58;15.61;320976;5006869;08/23/2023 17:14:00
15.6;15.61;15.58;15.6;261060;4071063;08/23/2023 17:15:00
15.6;15.63;15.6;15.61;672532;10500760;08/23/2023 17:16:00
15.6;15.61;15.56;15.57;365559;5694951;08/23/2023 17:17:00
15.57;15.58;15.56;15.58;207834;3236304;08/23/2023 17:18:00
15.57;15.59;15.56;15.58;292109;4548489;08/23/2023 17:19:00
15.58;15.58;15.55;15.57;593324;9234046;08/23/2023 17:20:00
15.58;15.6;15.55;15.56;494050;7693790;08/23/2023 17:21:00
15.56;15.57;15.56;15.56;118144;1838505;08/23/2023 17:22:00
15.57;15.57;15.54;15.56;364830;5674926;08/23/2023 17:23:00
15.55;15.55;15.53;15.53;944377;14674570;08/23/2023 17:24:00
15.53;15.56;15.52;15.55;1089720;16935950;08/23/2023 17:25:00
15.56;15.56;15.52;15.52;610968;9488439;08/23/2023 17:26:00
15.53;15.57;15.52;15.57;586238;9113483;08/23/2023 17:27:00
15.56;15.57;15.51;15.54;1127319;17511330;08/23/2023 17:28:00
15.55;15.56;15.52;15.53;621548;9657411;08/23/2023 17:29:00
15.53;15.55;15.51;15.54;402838;6255818;08/23/2023 17:30:00
15.54;15.55;15.53;15.53;554977;8627317;08/23/2023 17:31:00
15.53;15.55;15.52;15.53;528219;8201506;08/23/2023 17:32:00
15.54;15.55;15.53;15.55;287669;4470394;08/23/2023 17:33:00
15.54;15.56;15.53;15.53;488194;7587363;08/23/2023 17:34:00
15.54;15.55;15.54;15.54;336984;5237446;08/23/2023 17:35:00
15.55;15.55;15.53;15.54;94441;1467863;08/23/2023 17:36:00
15.53;15.54;15.51;15.51;420753;6533398;08/23/2023 17:37:00
15.52;15.53;15.51;15.53;424046;6581126;08/23/2023 17:38:00
15.52;15.53;15.51;15.52;525113;8149961;08/23/2023 17:39:00
15.51;15.53;15.48;15.52;1468176;22760960;08/23/2023 17:40:00
15.52;15.53;15.47;15.48;1442069;22343000;08/23/2023 17:41:00
15.47;15.53;15.45;15.52;1233016;19092060;08/23/2023 17:42:00
15.52;15.53;15.49;15.5;539663;8373625;08/23/2023 17:43:00
15.5;15.51;15.48;15.48;280052;4339252;08/23/2023 17:44:00
15.48;15.5;15.47;15.5;350104;5421497;08/23/2023 17:45:00
15.5;15.5;15.46;15.46;549682;8508615;08/23/2023 17:46:00
15.46;15.49;15.44;15.47;1069983;16539050;08/23/2023 17:47:00
15.47;15.49;15.46;15.49;658595;10191840;08/23/2023 17:48:00
15.5;15.57;15.49;15.56;1438857;22346760;08/23/2023 17:49:00
15.57;15.58;15.53;15.54;797711;12408490;08/23/2023 17:50:00
15.54;15.55;15.5;15.5;616859;9574862;08/23/2023 17:51:00
15.5;15.5;15.47;15.49;709651;10989210;08/23/2023 17:52:00
15.49;15.49;15.46;15.47;316116;4891335;08/23/2023 17:53:00
15.47;15.47;15.44;15.46;501484;7751092;08/23/2023 17:54:00
15.46;15.47;15.38;15.39;1727401;26629090;08/23/2023 17:55:00
15.38;15.43;15.37;15.42;1277051;19660890;08/23/2023 17:56:00
15.42;15.43;15.4;15.41;656021;10110740;08/23/2023 17:57:00
15.4;15.41;15.38;15.4;1405176;21631140;08/23/2023 17:58:00
15.4;15.42;15.38;15.42;1343467;20697400;08/23/2023 17:59:00
15.4;15.4;15.4;15.4;5167228;79575296;08/23/2023 18:05:00
15.45;15.45;15.45;15.45;1581318;24431350;08/24/2023 09:55:00
15.44;15.49;15.44;15.47;2609242;40354460;08/24/2023 10:00:00
15.48;15.5;15.46;15.49;1916960;29673080;08/24/2023 10:01:00
15.48;15.59;15.48;15.56;5366496;83432352;08/24/2023 10:02:00
15.54;15.57;15.52;15.54;3229118;50204192;08/24/2023 10:03:00
15.55;15.57;15.53;15.56;1292210;20101930;08/24/2023 10:04:00
15.56;15.58;15.53;15.56;3821377;59451032;08/24/2023 10:05:00
15.55;15.57;15.52;15.57;748466;11634590;08/24/2023 10:06:00
15.57;15.57;15.53;15.54;519630;8083866;08/24/2023 10:07:00
15.55;15.55;15.52;15.55;393288;6109969;08/24/2023 10:08:00
15.54;15.55;15.51;15.52;978121;15191390;08/24/2023 10:09:00
15.53;15.56;15.52;15.54;1131141;17577880;08/24/2023 10:10:00
15.54;15.58;15.54;15.58;1456731;22675270;08/24/2023 10:11:00
15.57;15.58;15.54;15.55;637166;9921014;08/24/2023 10:12:00
15.54;15.56;15.54;15.56;1147062;17832210;08/24/2023 10:13:00
15.56;15.59;15.56;15.58;1445431;22524520;08/24/2023 10:14:00
15.58;15.59;15.56;15.58;983310;15315000;08/24/2023 10:15:00
15.58;15.6;15.56;15.59;1862672;29021760;08/24/2023 10:16:00
15.59;15.6;15.55;15.56;1741056;27120780;08/24/2023 10:17:00
15.57;15.58;15.55;15.56;1544331;24031070;08/24/2023 10:18:00
15.55;15.57;15.55;15.55;571827;8893208;08/24/2023 10:19:00
15.56;15.58;15.54;15.56;473114;7359128;08/24/2023 10:20:00
15.56;15.56;15.53;15.55;325208;5055788;08/24/2023 10:21:00
15.56;15.56;15.52;15.54;1123160;17453900;08/24/2023 10:22:00
15.55;15.56;15.54;15.55;821669;12776960;08/24/2023 10:23:00
15.55;15.57;15.54;15.56;326217;5074858;08/24/2023 10:24:00
15.56;15.57;15.55;15.56;265515;4131530;08/24/2023 10:25:00
15.56;15.58;15.55;15.56;573018;8920924;08/24/2023 10:26:00
15.57;15.62;15.55;15.59;2555912;39846980;08/24/2023 10:27:00
15.59;15.62;15.59;15.6;1404438;21907710;08/24/2023 10:28:00
15.61;15.65;15.61;15.64;3079363;48126580;08/24/2023 10:29:00
15.64;15.67;15.62;15.63;3197001;50033020;08/24/2023 10:30:00
15.63;15.65;15.62;15.64;1819430;28451020;08/24/2023 10:31:00
15.64;15.66;15.63;15.65;1147861;17962390;08/24/2023 10:32:00
15.65;15.66;15.62;15.62;628891;9836109;08/24/2023 10:33:00
15.63;15.66;15.62;15.64;1393557;21799240;08/24/2023 10:34:00
15.63;15.65;15.62;15.64;796843;12458440;08/24/2023 10:35:00
15.64;15.64;15.61;15.63;1972994;30823880;08/24/2023 10:36:00
15.62;15.66;15.62;15.64;702610;10989930;08/24/2023 10:37:00
15.65;15.66;15.63;15.64;929492;14543780;08/24/2023 10:38:00
15.65;15.65;15.63;15.63;663851;10382380;08/24/2023 10:39:00
15.63;15.66;15.63;15.65;1509820;23625700;08/24/2023 10:40:00
15.64;15.65;15.62;15.65;703126;10995770;08/24/2023 10:41:00
15.64;15.66;15.63;15.65;1229552;19246020;08/24/2023 10:42:00
